;EnergyLowerEdge;EnergyWidth;GF;Energy
0;-0.05;0.1;0.0;0.0
1;0.05;0.1;0.0;0.1
2;0.15000000000000002;0.1;0.0;0.2
3;0.25;0.1;0.0;0.3
4;0.35000000000000003;0.1;0.0;0.4
5;0.45;0.1;0.0;0.5
6;0.5499999999999999;0.1;0.0;0.6
7;0.6499999999999999;0.1;0.0;0.7
8;0.75;0.1;0.0;0.8
9;0.85;0.1;0.0;0.9
10;0.95;0.1;0.0;1.0
11;1.05;0.1;0.0;1.1
12;1.15;0.1;0.0;1.2
13;1.25;0.1;0.0;1.3
14;1.3499999999999999;0.1;0.0;1.4
15;1.45;0.1;0.0;1.5
16;1.55;0.1;0.0;1.6
17;1.65;0.1;0.0;1.7
18;1.75;0.1;0.0;1.8
19;1.8499999999999999;0.1;0.0;1.9
20;1.95;0.1;0.0;2.0
21;2.0500000000000003;0.1;0.0;2.1
22;2.1500000000000004;0.1;0.0;2.2
23;2.25;0.1;0.0;2.3
24;2.35;0.1;0.0;2.4
25;2.45;0.1;0.0;2.5
26;2.5500000000000003;0.1;0.0;2.6
27;2.6500000000000004;0.1;0.0;2.7
28;2.75;0.1;0.0;2.8
29;2.85;0.1;0.0;2.9
30;2.95;0.1;0.0;3.0
31;3.0500000000000003;0.1;0.0;3.1
32;3.1500000000000004;0.1;0.0;3.2
33;3.25;0.1;0.0;3.3
34;3.35;0.1;0.0;3.4
35;3.45;0.1;0.0;3.5
36;3.5500000000000003;0.1;0.0;3.6
37;3.6500000000000004;0.1;0.0;3.7
38;3.75;0.1;0.0;3.8
39;3.85;0.1;0.0;3.9
40;3.95;0.1;0.0;4.0
41;4.05;0.1;0.0;4.1
42;4.15;0.1;0.0;4.2
43;4.25;0.1;0.0;4.3
44;4.3500000000000005;0.1;0.0;4.4
45;4.45;0.1;0.0;4.5
46;4.55;0.1;0.0;4.6
47;4.65;0.1;0.0;4.7
48;4.75;0.1;0.0;4.8
49;4.8500000000000005;0.1;0.0;4.9
50;4.95;0.1;0.0;5.0
51;5.05;0.1;0.0;5.1
52;5.15;0.1;0.0;5.2
53;5.25;0.1;0.0;5.3
54;5.3500000000000005;0.1;0.00029898870314026837;5.4
55;5.45;0.1;0.0;5.5
56;5.55;0.1;0.0;5.6
57;5.65;0.1;0.0001579028658498841;5.7
58;5.75;0.1;0.0006428050806341246;5.8
59;5.8500000000000005;0.1;0.0006539662703846049;5.9
60;5.95;0.1;0.0001662942389734398;6.0
61;6.05;0.1;0.0005072141159051139;6.1
62;6.15;0.1;0.0006874382174157096;6.2
63;6.25;0.1;0.0;6.3
64;6.3500000000000005;0.1;0.0008873093379875613;6.4
65;6.45;0.1;0.0005406537739896028;6.5
66;6.55;0.1;0.0012812010409168286;6.6
67;6.65;0.1;0.0009292247283882997;6.7
68;6.75;0.1;0.000377290592838841;6.8
69;6.8500000000000005;0.1;0.0013398854185732226;6.9
70;6.95;0.1;0.0003884353962940898;7.0
71;7.05;0.1;0.001970010808824891;7.1
72;7.15;0.1;0.0013984368980971358;7.2
73;7.25;0.1;0.0010128996438130394;7.3
74;7.3500000000000005;0.1;0.0014379173567717891;7.4
75;7.45;0.1;0.0014574029996564481;7.5
76;7.55;0.1;0.0012656725571914226;7.6
77;7.65;0.1;0.002138001423084864;7.7
78;7.75;0.1;0.0006496859807515657;7.8
79;7.8500000000000005;0.1;0.00219399325450936;7.9
80;7.95;0.1;0.0019995550934470605;8.0
81;8.049999999999999;0.1;0.0015747214136518411;8.1
82;8.149999999999999;0.1;0.0011386363781170532;8.2
83;8.25;0.1;0.002766463134309815;8.3
84;8.35;0.1;0.0037329029511436805;8.4
85;8.45;0.1;0.006140353212814208;8.5
86;8.549999999999999;0.1;0.01505216855653256;8.6
87;8.649999999999999;0.1;0.03142272472153485;8.7
88;8.75;0.1;0.03765662587719342;8.8
89;8.85;0.1;0.03957197943213932;8.9
90;8.95;0.1;0.03976719348542083;9.0
91;9.049999999999999;0.1;0.046027728079159606;9.1
92;9.149999999999999;0.1;0.04756017772450528;9.2
93;9.25;0.1;0.04006007154339305;9.3
94;9.35;0.1;0.04729045147686636;9.4
95;9.45;0.1;0.0417217631702609;9.5
96;9.549999999999999;0.1;0.03923446036873152;9.6
97;9.649999999999999;0.1;0.0415302059200354;9.7
98;9.75;0.1;0.03869125647432502;9.8
99;9.85;0.1;0.026428711646158908;9.9
100;9.95;0.1;0.01612796228580855;10.0
101;10.049999999999999;0.1;0.040722588511670245;10.1
102;10.149999999999999;0.1;0.04396614963629454;10.2
103;10.25;0.1;0.047984089657383;10.3
104;10.35;0.1;0.05206947273144482;10.4
105;10.45;0.1;0.04890549603897954;10.5
106;10.549999999999999;0.1;0.04791354182977213;10.6
107;10.649999999999999;0.1;0.04166737087364671;10.7
108;10.75;0.1;0.04958395352053693;10.8
109;10.85;0.1;0.0507899327329955;10.9
110;10.95;0.1;0.049732831084513526;11.0
111;11.049999999999999;0.1;0.044010012519983654;11.1
112;11.149999999999999;0.1;0.047529669487251076;11.2
113;11.25;0.1;0.04400498722179331;11.3
114;11.35;0.1;0.05153726354554517;11.4
115;11.45;0.1;0.05358466595745289;11.5
116;11.549999999999999;0.1;0.055686733969265836;11.6
117;11.649999999999999;0.1;0.03986934685100275;11.7
118;11.75;0.1;0.04516547871948467;11.8
119;11.85;0.1;0.04801630491046677;11.9
120;11.95;0.1;0.05009890360295682;12.0
121;12.049999999999999;0.1;0.04460748579252615;12.1
122;12.149999999999999;0.1;0.057720315905022856;12.2
123;12.25;0.1;0.04535784879830667;12.3
124;12.35;0.1;0.05867885025403117;12.4
125;12.45;0.1;0.05305614891296532;12.5
126;12.549999999999999;0.1;0.044722130532684416;12.6
127;12.649999999999999;0.1;0.0486049602693264;12.7
128;12.75;0.1;0.04187602232521844;12.8
129;12.85;0.1;0.049384198979288085;12.9
130;12.95;0.1;0.05066446512025869;13.0
131;13.049999999999999;0.1;0.038296352579737715;13.1
132;13.149999999999999;0.1;0.048677790498169324;13.2
133;13.25;0.1;0.058316920091681865;13.3
134;13.35;0.1;0.05690678402226453;13.4
135;13.45;0.1;0.050734621114408164;13.5
136;13.549999999999999;0.1;0.04827909737272237;13.6
137;13.649999999999999;0.1;0.05054826662829116;13.7
138;13.75;0.1;0.04802969992588665;13.8
139;13.85;0.1;0.05710318567037933;13.9
140;13.95;0.1;0.043860260037837;14.0
141;14.049999999999999;0.1;0.04612922831823494;14.1
142;14.149999999999999;0.1;0.05733423325583164;14.2
143;14.25;0.1;0.055767916927629425;14.3
144;14.35;0.1;0.053138468923478704;14.4
145;14.45;0.1;0.04846974569840212;14.5
146;14.549999999999999;0.1;0.04169327692724824;14.6
147;14.649999999999999;0.1;0.04502470869430319;14.7
148;14.75;0.1;0.05461100739834114;14.8
149;14.85;0.1;0.062255342659046926;14.9
150;14.95;0.1;0.052209051411308306;15.0
151;15.049999999999999;0.1;0.05257419040544093;15.1
152;15.149999999999999;0.1;0.047623774071268575;15.2
153;15.25;0.1;0.04901956842659408;15.3
154;15.35;0.1;0.06325421792382246;15.4
155;15.45;0.1;0.07016625024929682;15.5
156;15.549999999999999;0.1;0.055403725337692826;15.6
157;15.649999999999999;0.1;0.0437444594356484;15.7
158;15.75;0.1;0.0572211538734803;15.8
159;15.85;0.1;0.059809753013105094;15.9
160;15.95;0.1;0.05238367776803565;16.0
161;16.05;0.1;0.052705641520157144;16.1
162;16.15;0.1;0.055279978163723556;16.2
163;16.25;0.1;0.06017234878809556;16.3
164;16.349999999999998;0.1;0.051385106840937556;16.4
165;16.45;0.1;0.05980061363391028;16.5
166;16.55;0.1;0.060133091489790104;16.6
167;16.65;0.1;0.05467453802181271;16.7
168;16.75;0.1;0.05618216691016324;16.8
169;16.849999999999998;0.1;0.05768102575881774;16.9
170;16.95;0.1;0.05092814047124274;17.0
171;17.05;0.1;0.04289880443003465;17.1
172;17.15;0.1;0.052724354632574;17.2
173;17.25;0.1;0.05302901738622327;17.3
174;17.349999999999998;0.1;0.05454723866589995;17.4
175;17.45;0.1;0.05487165287366488;17.5
176;17.55;0.1;0.08336680274728211;17.6
177;17.65;0.1;0.056699197972276356;17.7
178;17.75;0.1;0.0520697402834489;17.8
179;17.849999999999998;0.1;0.06109965701327328;17.9
180;17.95;0.1;0.04891509147068198;18.0
181;18.05;0.1;0.0617852859827011;18.1
182;18.15;0.1;0.05325964680794527;18.2
183;18.25;0.1;0.053555761418894315;18.3
184;18.349999999999998;0.1;0.05510699508364176;18.4
185;18.45;0.1;0.054143858615655745;18.5
186;18.55;0.1;0.051840126293604946;18.6
187;18.65;0.1;0.046907877399675675;18.7
188;18.75;0.1;0.05501368764071247;18.8
189;18.849999999999998;0.1;0.06190762924512221;18.9
190;18.95;0.1;0.05030983454842018;19.0
191;19.05;0.1;0.07052158925908787;19.1
192;19.15;0.1;0.07090511378702795;19.2
193;19.25;0.1;0.05648184772155283;19.3
194;19.349999999999998;0.1;0.05273359498870283;19.4
195;19.45;0.1;0.042127226975304286;19.5
196;19.55;0.1;0.05052768014902082;19.6
197;19.65;0.1;0.054926449410313556;19.7
198;19.75;0.1;0.060711270484832734;19.8
199;19.849999999999998;0.1;0.051317491023416754;19.9
200;19.95;0.1;0.04320236097890213;20.0
201;20.05;0.1;0.05602613650090704;20.1
202;20.15;0.1;0.059131444799987144;20.2
