Datetime;A;Y;Er
2024-05-09 05:30:00;0.08090335210392786;-1.408590690984373;58202435.65283176
2024-05-09 08:15:00;0.4988591745450909;-1.7930972658172752;85755978.94369681
2024-05-09 09:00:00;4.820816092264765;-2.4513692968174943;93180698.68025462
2024-05-09 09:45:00;1.7841665475089292;-2.032074016640275;397193250.9626847
2024-05-09 10:30:00;10.665608553269148;-2.5410132789448503;411196106.08426434
2024-05-09 11:45:00;2.9355568743199765;-2.1751503457047088;355240212.9961747
2024-05-09 12:15:00;47.428222110819526;-2.9043714763468578;698472767.001968
2024-05-09 13:00:00;20.86510171911029;-2.605002180583172;435148235.35042
2024-05-09 13:15:00;35.01212416648738;-2.7749422264820165;365639020.16002977
2024-05-09 13:45:00;96.95960333278704;-3.0246188675611947;369244752.1396621
2024-05-09 14:00:00;31.772332601973208;-2.698960644189059;1016509822.1165931
2024-05-09 14:15:00;152.4716612727324;-3.1443221347820614;247670652.7900234
2024-05-09 14:30:00;51.97789397215485;-2.8590384971048453;1504980259.2243385
2024-05-09 14:45:00;103.2235409065354;-2.9919986096582862;200801515.12273863
2024-05-09 15:00:00;145.10786283965646;-3.127136157442258;767619844.943013
2024-05-09 15:30:00;87.61547538246579;-3.002266575900238;175820767.97668558
2024-05-09 16:00:00;79.97838100845775;-2.9565629177738924;660210227.8835557
2024-05-09 16:15:00;69.72099523672084;-2.85378664723892;393535618.9884236
2024-05-09 16:30:00;597.8272275802636;-3.4798963880934806;66890575.5256466
2024-05-09 16:45:00;59.210097609814696;-2.900551679663878;615015852.5320437
2024-05-09 17:00:00;92.08564067753807;-3.026091765855796;669903827.389806
2024-05-09 17:15:00;125.88407631067393;-3.0889744859287327;350349961.58396137
2024-05-09 17:30:00;91.23463439370482;-2.952499245509544;474431395.25004756
2024-05-09 17:45:00;53.95774084178518;-2.8366973634590447;777815840.1437495
2024-05-09 18:15:00;82.00162457133688;-2.8811662042870188;174850193.34979236
2024-05-09 18:30:00;79.0580363263877;-2.8608072631579167;173501108.72431004
2024-05-09 18:45:00;212.80380470528846;-3.240858089061051;202507485.80724198
2024-05-09 19:00:00;270.55894548785915;-3.326092663922229;354815295.92902726
2024-05-09 19:15:00;143.1082224024019;-3.0945636948179973;442372914.04921025
2024-05-09 19:30:00;78.67052998387972;-2.946568548770291;298274388.8923439
2024-05-09 19:45:00;213.84566882683157;-3.228085955935488;550241591.1516622
2024-05-09 20:00:00;166.36544039173458;-3.0996685498083227;537938128.3119736
2024-05-09 20:15:00;135.65446321486948;-3.0816889042760938;860439235.4306211
2024-05-09 20:45:00;285.6624032357635;-3.2562247208133077;540775875.1251806
2024-05-09 21:15:00;332.8012266427683;-3.296082064840362;394518299.2873523
2024-05-09 21:30:00;233.12401135044598;-3.207227591168709;546875120.8096467
2024-05-09 21:45:00;616.6464290415187;-3.509598646509372;283622128.3299066
2024-05-09 22:00:00;476.7295358487493;-3.389996862633719;266741210.80723628
2024-05-09 22:15:00;168.87029863372337;-3.127005689199096;147432809.13938153
2024-05-09 22:30:00;127.94692288500991;-3.0280142800290406;115637542.48491515
